"PermisoId","NumeroPermiso","RazonSocial","Calle","CodigoPostal","Colonia","Latitud","Longitud","Regular","Premium","Diesel","FechaAplicacion"
"2143","PL/853/EXP/ES/2015","Súper Servicio Cumbre  S.A. de C.V.","Autopista México - Acapulco   Lado A km 92.600  Acapantzingo  Cuernavaca","62440","","18.90457","-99.21558","15.93","17.7","17",""
"2144","PL/893/EXP/ES/2015","ESTACIONES DE SERVICIO CAMINOS DE GUANAJUATO  S. A. DE C. V.","Carr. Dolores Hidalgo - San Luis de la Paz Km. 5 S/C  Dolores Hidalgo Cuna de la Independencia Nacional","37800","","21.16531","-100.9016","16.09","17.86","17.16",""
"2153","PL/695/EXP/ES/2015","Inmobiliaria Ravs  S.A. de C.V.","Del circuito de frutas y verduras Manzana 11 Lote 11 Colonia Central de Abastos Delegacion Iztapalapa","9040","","19.37504","-99.08196","16.32","18.2","17.07",""
"2154","PL/725/EXP/ES/2015","GASOLINA Y LUBRICANTES MALPASO S.A. DE C.V.  ","Carretera Tecpatan Raudales Malpaso km 4.23 s/n Predio La Bondad  Raudales Malpaso","29600","","17.18763","-93.56612","15.73","17.5","16.8",""
"2157","PL/821/EXP/ES/2015","Gasolinería México Ajusco 1 S.A. de C.V.","Avenida Hidalgo No. 83  Colonia San Miguel Ajusco  Tlalpan","14700","","19.2289","-99.19692","16.33","18.2","17.07",""
"2160","PL/383/EXP/ES/2015","Grupo Empresarial Cachanilla  S.A. de C.V.","Av. Venustiano Carranza y Calle 4ta No.400 Colonia Comercial","83449","","32.47077","-114.7834","16.17","17.95","17.29",""
"2163","PL/719/EXP/ES/2015","ESTACIÓN DE SERVICIO TEZONTEPEC S.A. DE C.V.","Insurgentes No. 45  La Barranca Panuaya  Tezontepec De Aldama","42760","","20.19257","-99.26816","15.83","17.6","16.92","1/9/2017 9:45:00 PM"
"2165","PL/664/EXP/ES/2015","Estación de Servicio Córdoba S.A. de C.V.","Calle 10 de Abril No. 711  Colonia Granjas  Cuernavaca","62460","","18.91205","-99.20078","15.93","17.7","17",""
"2166","PL/702/EXP/ES/2015","BECKTROP OPERADORA S.A. DE C.V.","Cuauhtémoc sur poniente No. 2834 Col. Dávila","22044","","32.51695","-117.0214","16.04","17.81","",""
"2167","PL/378/EXP/ES/2015","GRUPO EMPRESARIAL CACHANILLA  S.A. DE C.V.","Calzada Gustavo Vildosola Castro No.1901  Colonia Ex Ejido Coahuila","21360","","32.60439","-115.4283","16.17","17.95","17.29",""
"2173","PL/393/EXP/ES/2015","GRUPO EMPRESARIAL CACHANILLA  S.A. DE C.V.","Av. Ignacio Zaragoza y Av. Cascada  La Balsa  Fracc. Valle de Puebla VI Sección","21395","","32.55959","-115.3589","16.17","17.95","17.29",""
"2174","PL/384/EXP/ES/2015","Grupo Empresarial Cachanilla  S.A. de C.V.","Calz. Heroica Puebla No. 18 Fracc. Ángeles de Puebla","21620","","0","0","16.17","17.95","",""
"2180","PL/769/EXP/ES/2015","COMBU-EXPRESS  S.A. DE C.V.","Blvd. Luis Donaldo Colosio No. 814  Col. Benito Juárez Ote. Tepic","63166","","20.5629","-103.2836","16.33","18.1","17.43","1/9/2017 9:29:00 AM"
"2182","PL/854/EXP/ES/2015","Servicio Jacarandas  S.A. de C.V.","Carr. Texcoco-Lechería s/n  Colonia  Santa María Chiconaulta  Ecatepec","55066","","19.61462","-99.0181","16.32","18.2","17.07",""
"2186","PL/692/EXP/ES/2015","Estación de Servicio Marbella  S.A. de C.V.","Camino a San Andrés Lote 2 No. 21 Colonia Carlos Hank González  Ecatepec","55520","","19.54896","-99.07384","16.32","18.2","17.07",""
"2188","PL/648/EXP/ES/2015","Gasolinaría Ulises  S.A. de C.V.","Cisnes N°40 Manzana 10 Lote 13 y 14  Colonia Lago de Guadalupe. Cuautitlán Izcalli","54760","","19.62737","-99.2403","16.27","18.14","17.01",""
"2191","PL/693/EXP/ES/2015","Estación de Servicio Cuenca S.A. de C.V.","Boulevard Adolfo López Mateos No. 206 Col. Loma del Gallo","89460","","22.254","-97.85314","15.37","17.14","16.44",""
"2193","PL/757/EXP/ES/2015","DALROM  S.A. DE C.V.","Av. San Gabriel No. 707  Fracc. Ojocaliente III","20196","","19.2539","-99.72745","16.16","17.93","17.23",""
"2195","PL/735/EXP/ES/2015","COMBUSTIBLES ARCOTETE  S.A. DE C.V.","Calzada de la Quinta No.227  Barrio la Garita  San Cristóbal de las Casas","29230","","16.73734","-92.60492","15.73","17.5","16.8",""
"2196","PL/647/EXP/ES/2015","Estación de Servicio La Rioja S.A. de C.V.","Camino a España No. 351-A  Colonia Barrio de Santiago Segunda Sección  Zumpango","55600","","19.82526","-99.08937","15.79","17.56","16.89",""
"2197","PL/771/EXP/ES/2015","SERVICIO EL TOREO DE SALTILLO S.A. DE C.V.","Blvd. Jesús Valdes Sánchez No. 2911  Colonia El Toreo  Saltillo","25298","","25.44261","-100.9147","15.98","17.75","17.05",""
"2200","PL/761/EXP/ES/2015","DÍAZ GAS  S.A. DE C.V.","Av. Rafael Pérez Serna No. 676  Col. Partido Romero  Juárez","32330","","31.7462","-106.4253","15.71","17.93","16.98",""
"2208","PL/416/EXP/ES/2015","GRUPO OCTANO  S.A. DE C.V","Av. Insurgentes 1131 ote.  Col. Las Aves  Tepic","63170","","21.49595","-104.883","16.33","18.1","","1/7/2017 1:35:00 PM"
"2209","PL/733/EXP/ES/2015","GASOLINERAS PABA S.A. DE C.V. ","Carretera a los Planes No.3650 ","23050","","24.12212","-110.2945","16","17.76","17.07",""
"2210","PL/883/EXP/ES/2015","Servicio Gasol  S.A. de C.V.","Calz. De Jesuita Agustín de Espinoza no. 1011  Col. Aviación  Torreón","27050","","25.55813","-103.3947","16.13","17.9","",""
"2212","PL/709/EXP/ES/2015","BECKTROP OPERADORA S.A. DE C.V.","Blvd. Agua Caliente No. 9150  Col Marrón","22015","","32.52285","-117.0259","16.04","17.81","",""
"2214","PL/819/EXP/ES/2015","Estación de Servicio Venta de Carpio  S.A.de C.V.","Carretera México - Tepexpan S/N  Colonia Sta. María Chiconautla  Ecatepec","55066","","19.6214","-99.00452","16.32","18.2","17.07",""
"2216","PL/688/EXP/ES/2015","GASOLINERAS PABA S.A. DE C.V.","5 de Febrero No. 1215  Colonia Pueblo Nuevo","23060","","24.14254","-110.314","16","17.76","17.07",""
"2218","PL/765/EXP/ES/2015","ENERGÉTICOS Y SERVICIOS OCOZOCOAUTLA S.A. DE C.V.","Carretera Huixtla Tapachula Km. 281 Mas 656  Col. Viva México  Tapachula","30820","","14.91567","-92.34282","15.95","17.72","17.02",""
"2221","PL/398/EXP/ES/2015","Grupo Empresarial Cachanilla  S.A. de C.V.","Calz. Avelardo L. Rodríguez  Colonia Calles  Mexicali","21226","","32.65948","-115.3744","16.17","17.95","17.29",""
"2222","PL/389/EXP/ES/2015","Grupo Empresarial Cachanilla  S.A. de C.V.","Carretera Mexicali-San Felipe No.399  Colonia Dos División Dos","21383","","32.59562","-115.4325","16.17","17.95","17.29",""
"2226","PL/739/EXP/ES/2015","DISTRIBUIDORA DE COMBUSTIBLES LAS CAÑADAS S.A. DE C.V.","Lote 1 Manzana 28 de la Zona 1 Ejido Nueva Orizaba  Benemérito de las Americas","29955","","16.08285","-90.63845","16.1","17.87","17.17",""
